"Órgão ";"Valor Empenhado ";"Valor Liquidado ";"Valor Pago "
"ADVOCACIA-GERAL DO ESTADO";"22.165,66";"22.165,66";"22.673,66"
"AGENCIA DE DESENVOLVIMENTO DA REGIAO METROPOLITANA DE BELO HORIZONTE";"3.303,48";"3.303,48";"3.303,48"
"AGENCIA DE DESENVOLVIMENTO DA REGIAO METROPOLITANA DO VALE DO ACO";"21.788,05";"21.788,05";"22.062,60"
"AGENCIA REGULADORA DE SERVICOS DE ABASTECIMENTO DE AGUA E DE ESGOTAMENTO SANITARIO DO ESTADO DE MINA";"69.140,25";"69.140,25";"74.800,45"
"ASSEMBLEIA LEGISLATIVA DO ESTADO DE MINAS GERAIS";"5.492.904,97";"5.492.904,97";"4.122.658,06"
"CONTROLADORIA-GERAL DO ESTADO";"51.416,00";"50.216,00";"51.070,20"
"CORPO DE BOMBEIROS MILITAR DO ESTADO DE MINAS GERAIS";"2.193.121,62";"2.193.121,62";"2.192.455,12"
"DEFENSORIA PUBLICA DO ESTADO DE MINAS GERAIS";"365.649,77";"365.649,77";"377.824,77"
"DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS";"331.649,59";"331.649,59";"338.532,09"
"DEPARTAMENTO DE TRANSITO DE MINAS GERAIS";"395.280,66";"395.280,66";"395.189,45"
"EMPRESA DE ASSISTENCIA TECNICA E EXTENSAO RURAL DO ESTADO DE MINAS GERAIS";"5.202.936,18";"5.202.936,18";"5.202.936,18"
"EMPRESA DE PESQUISA AGROPECUARIA DE MINAS GERAIS";"352.874,13";"352.874,13";"352.874,13"
"EMPRESA MINEIRA DE COMUNICACAO";"1.048,50";"1.048,50";"1.048,50"
"ESCOLA DE SAUDE PUBLICA DO ESTADO DE MINAS GERAIS";"31.190,25";"31.122,45";"31.122,45"
"FUNDACAO CENTRO DE HEMATOLOGIA E HEMOTERAPIA DE MINAS GERAIS";"140.323,16";"140.323,16";"147.534,66"
"FUNDACAO CLOVIS SALGADO";"7.300,25";"7.300,25";"7.300,25"
"FUNDACAO DE AMPARO A PESQUISA DO ESTADO DE MINAS GERAIS";"144.834,07";"144.834,07";"146.387,84"
"FUNDACAO DE ARTE DE OURO PRETO";"7.884,91";"7.884,91";"7.884,91"
"FUNDACAO DE EDUCACAO PARA O TRABALHO DE MINAS GERAIS";"662,50";"662,50";"662,50"
"FUNDACAO EDUCACIONAL CAIO MARTINS";"15.348,75";"14.348,75";"14.348,75"
"FUNDACAO ESTADUAL DO MEIO AMBIENTE";"45.807,80";"45.803,35";"49.049,75"
"FUNDACAO EZEQUIEL DIAS";"243.249,10";"243.249,10";"245.658,35"
"FUNDACAO HELENA ANTIPOFF";"4.735,25";"4.735,25";"4.735,25"
"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS";"295.134,25";"295.134,25";"301.337,00"
"FUNDACAO JOAO PINHEIRO";"34.161,90";"34.161,90";"34.682,40"
"FUNDACAO TV MINAS CULTURAL E EDUCATIVA";"21.754,30";"21.754,30";"21.743,30"
"FUNDO DE RECUPERACAO, PROTECAO E DESENVOLVIMENTO SUSTENTAVEL DAS BACIAS HIDROGRAFICAS DO ESTADO DE M";"127.700,34";"127.700,34";"128.819,74"
"FUNDO ESPECIAL DO MINISTERIO PUBLICO DO ESTADO DE MINAS GERAIS";"185.791,00";"185.791,00";"188.609,00"
"FUNDO ESPECIAL DO PODER JUDICIARIO DO ESTADO DE MINAS GERAIS";"8.484.406,57";"8.484.190,57";"8.643.981,64"
"FUNDO ESTADUAL DE ASSISTENCIA SOCIAL";"199.355,95";"199.355,95";"201.894,25"
"FUNDO ESTADUAL DE CULTURA";"4.048,10";"4.048,10";"4.048,10"
"FUNDO ESTADUAL DE DESENVOLVIMENTO DE TRANSPORTES";"112.942,95";"112.942,95";"114.130,95"
"FUNDO ESTADUAL DE PROTECAO E DEFESA DO CONSUMIDOR";"368.052,16";"368.052,16";"375.339,62"
"FUNDO ESTADUAL DE SAUDE";"6.681.296,17";"6.540.565,82";"6.648.624,97"
"GABINETE MILITAR DO GOVERNADOR DO ESTADO DE MINAS GERAIS";"1.523.078,11";"1.523.078,11";"1.535.547,25"
"INSTITUTO DE DESENVOLVIMENTO DO NORTE E NORDESTE DE MINAS GERAIS";"34.727,55";"34.727,55";"36.439,00"
"INSTITUTO DE METROLOGIA E QUALIDADE DO ESTADO DE MINAS GERAIS";"466.353,79";"466.353,79";"520.834,44"
"INSTITUTO DE PREVIDENCIA DOS SERVIDORES DO ESTADO DE MINAS GERAIS";"783,05";"783,05";"783,05"
"INSTITUTO DE PREVIDENCIA DOS SERVIDORES MILITARES DO ESTADO DE MINAS GERAIS";"84.043,50";"84.043,50";"89.119,75"
"INSTITUTO ESTADUAL DE FLORESTAS";"588.028,61";"581.337,11";"588.171,26"
"INSTITUTO ESTADUAL DO PATRIMONIO HISTORICO E ARTISTICO DE MINAS GERAIS";"39.899,50";"39.899,50";"41.221,50"
"INSTITUTO MINEIRO DE AGROPECUARIA";"772.735,40";"772.735,40";"800.589,85"
"INSTITUTO MINEIRO DE GESTAO DAS AGUAS";"256.495,05";"251.412,22";"259.827,22"
"JUNTA COMERCIAL DO ESTADO DE MINAS GERAIS";"2.245,30";"2.245,30";"2.807,40"
"LOTERIA DO ESTADO DE MINAS GERAIS";"3.400,00";"3.400,00";"3.400,00"
"OUVIDORIA-GERAL DO ESTADO DE MINAS GERAIS";"10.867,22";"10.867,22";"11.972,32"
"POLICIA CIVIL DO ESTADO DE MINAS GERAIS";"3.404.597,63";"3.404.597,63";"3.374.068,72"
"POLICIA MILITAR DO ESTADO DE MINAS GERAIS";"8.839.338,12";"8.839.338,12";"8.880.737,26"
"PROCURADORIA GERAL DE JUSTICA";"6.834.724,26";"6.834.724,26";"6.499.511,06"
"SECRETARIA DE ESTADO  DE INFRAESTRUTURA E MOBILIDADE";"14.042,85";"14.042,85";"14.115,05"
"SECRETARIA DE ESTADO DE  DESENVOLVIMENTO SOCIAL";"176.927,55";"176.927,55";"183.641,58"
"SECRETARIA DE ESTADO DE AGRICULTURA, PECUARIA E ABASTECIMENTO";"282.079,63";"282.079,63";"292.517,83"
"SECRETARIA DE ESTADO DE CULTURA E TURISMO";"94.383,05";"94.383,05";"95.404,55"
"SECRETARIA DE ESTADO DE DESENVOLVIMENTO AGRARIO";"18.400,91";"18.400,91";"20.631,01"
"SECRETARIA DE ESTADO DE DESENVOLVIMENTO E INTEGRACAO DO NORTE E NORDESTE DE MINAS GERAIS";"18.142,00";"18.142,00";"18.142,00"
"SECRETARIA DE ESTADO DE DESENVOLVIMENTO ECONOMICO";"133.819,31";"133.819,31";"142.511,70"
"SECRETARIA DE ESTADO DE DIREITOS HUMANOS, PARTICIPACAO SOCIAL E CIDADANIA";"41.089,60";"41.089,60";"42.755,70"
"SECRETARIA DE ESTADO DE EDUCACAO";"3.094.398,34";"3.094.398,34";"3.182.515,51"
"SECRETARIA DE ESTADO DE ESPORTES";"16.561,85";"16.561,85";"16.767,85"
"SECRETARIA DE ESTADO DE FAZENDA";"315.397,38";"315.397,38";"315.699,33"
"SECRETARIA DE ESTADO DE GOVERNO";"112.135,80";"112.135,80";"122.490,15"
"SECRETARIA DE ESTADO DE JUSTICA E SEGURANCA PUBLICA";"3.787.061,25";"3.787.061,25";"3.974.498,00"
"SECRETARIA DE ESTADO DE MEIO AMBIENTE E DESENVOLVIMENTO SUSTENTAVEL";"749.005,63";"749.005,63";"779.372,03"
"SECRETARIA DE ESTADO DE PLANEJAMENTO E GESTAO";"59.768,60";"59.768,60";"59.862,20"
"SECRETARIA DE ESTADO DE SEGURANCA PUBLICA";"129.434,65";"129.434,65";"132.117,20"
"SECRETARIA DE ESTADO DE TURISMO";"8.645,40";"8.645,40";"8.671,90"
"SECRETARIA-GERAL";"167.123,66";"167.123,66";"177.053,26"
"TRIBUNAL DE CONTAS DO ESTADO DE MINAS GERAIS";"1.674.882,55";"1.674.882,55";"1.686.946,04"
"TRIBUNAL DE JUSTICA MILITAR DO ESTADO DE MINAS GERAIS";"317.635,38";"317.635,38";"324.547,59"
"UNIVERSIDADE DO ESTADO DE MINAS GERAIS";"319.972,06";"319.972,06";"332.655,46"
"UNIVERSIDADE ESTADUAL DE MONTES CLAROS";"163.390,24";"163.390,24";"163.606,34"