"Órgão ";"Quantidade De Viagens ";"Quantidade De Diárias ";"Valor Pago Diárias ";"Valor Pago Passagens ";"Valor Total "
"ADVOCACIA GERAL DO ESTADO DE MINAS GERAIS - AGE";"14";"1,75";"304,50";"1.511,70";"1.816,20"
"AGENCIA REGULADORA DE SERVICOS DE ABASTECIMENTO DE AGUA E DE ESGOTAMENTO SANITARIO DO ESTADO DE MINAS GERAIS - ARSAE";"8";"10,80";"3.619,35";"0,00";"3.619,35"
"CONTROLADORIA GERAL DO ESTADO DE MINAS GERAIS - CGE";"1";"1,35";"521,10";"0,00";"521,10"
"DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS - DEER";"42";"4,20";"630,00";"0,00";"630,00"
"ESCOLA DE SAUDE PUBLICA DO ESTADO DE MINAS GERAIS - ESP";"2";"6,70";"1.005,00";"0,00";"1.005,00"
"FUNDACAO CENTRO DE HEMATOLOGIA E HEMOTERAPIA DE MINAS GERAIS - HEMOMINAS";"63";"33,50";"5.176,20";"121,15";"5.297,35"
"FUNDACAO ESTADUAL DO MEIO AMBIENTE - FEAM";"6";"1,00";"150,00";"0,00";"150,00"
"FUNDACAO EZEQUIEL DIAS - FUNED";"7";"8,75";"2.388,75";"4.481,53";"6.870,28"
"FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS - FHEMIG";"7";"2,45";"668,85";"0,00";"668,85"
"FUNDACAO JOAO PINHEIRO - FJP";"1";"1,35";"278,10";"0,00";"278,10"
"FUNDACAO TV MINAS CULTURAL E EDUCATIVA - REDE MINAS";"4";"11,85";"2.488,50";"0,00";"2.488,50"
"INSTITUTO DE DESENVOLVIMENTO DO NORTE E NORDESTE DE MINAS GERAIS - IDENE";"6";"12,10";"2.484,30";"443,66";"2.927,96"
"INSTITUTO DE METROLOGIA E QUALIDADE DO ESTADO DE MINAS GERAIS - IPEM";"40";"43,35";"8.062,50";"0,00";"8.062,50"
"INSTITUTO DE PREVIDENCIA DOS SERVIDORES MILITARES DO ESTADO DE MINAS GERAIS - IPSM";"4";"1,40";"382,20";"0,00";"382,20"
"INSTITUTO ESTADUAL DE FLORESTAS - IEF";"36";"3,75";"851,55";"0,00";"851,55"
"INSTITUTO ESTADUAL DO PATRIMONIO HISTORICO E ARTISTICO DE MINAS GERAIS - IEPHA";"3";"3,05";"457,50";"0,00";"457,50"
"INSTITUTO MINEIRO DE AGROPECUARIA - IMA";"18";"0,70";"105,00";"0,00";"105,00"
"INSTITUTO MINEIRO DE GESTAO DAS AGUAS - IGAM";"10";"56,75";"8.632,54";"0,00";"8.632,54"
"SECRETARIA DE ESTADO DE ADMINISTRAÇÃO PRISIONAL - SEAP";"1390";"1.164,95";"209.613,99";"0,00";"209.613,99"
"SECRETARIA DE ESTADO DE DESENVOLVIMENTO ECONOMICO, CIENCIA, TECNOLOGIA E ENSINO SUPERIOR";"15";"24,25";"5.647,65";"0,00";"5.647,65"
"SECRETARIA DE ESTADO DE EDUCACAO - SEE";"15";"0,00";"0,00";"0,00";"0,00"
"SECRETARIA DE ESTADO DE FAZENDA - SEF";"4";"0,00";"0,00";"390,08";"390,08"
"SECRETARIA DE ESTADO DE GOVERNO - SEGOV";"2";"5,70";"855,00";"0,00";"855,00"
"SECRETARIA DE ESTADO DE MEIO AMBIENTE E DESENVOLVIMENTO SUSTENTAVEL - SEMAD";"46";"4,35";"971,10";"1.980,85";"2.951,95"
"SECRETARIA DE ESTADO DE PLANEJAMENTO E GESTAO - SEPLAG";"4";"2,40";"926,40";"3.911,94";"4.838,34"
"SECRETARIA DE ESTADO DE SAUDE - SES";"188";"210,65";"43.966,25";"14.360,13";"58.326,38"
"SECRETARIA DE ESTADO DE TRABALHO E DESENVOLVIMENTO SOCIAL - SEDESE";"32";"64,45";"10.513,80";"1.857,96";"12.371,76"
"SECRETARIA DE ESTADO DE TRANSPORTES E OBRAS PUBLICAS - SETOP";"5";"3,40";"1.159,85";"5.607,16";"6.767,01"
"SECRETARIA GERAL - SG";"8";"31,80";"4.770,00";"0,00";"4.770,00"
"UNIVERSIDADE DO ESTADO DE MINAS GERAIS - REITORIA";"2";"0,00";"0,00";"1.339,15";"1.339,15"
"UNIVERSIDADE ESTADUAL DE MONTES CLAROS - UNIMONTES";"8";"0,00";"0,00";"0,00";"0,00"